feature,coef_table_name,group,timing,definition,transformation,encoding,coef_scale,used_in
loan_amnt,loan_amnt,loan terms,origination,Requested/funded loan amount (USD),as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
term_months,term_months,loan terms,origination,Contractual term in months,parsed from 'NN months',"numeric; median-imputed, standardized; values 36 or 60",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
int_rate,int_rate,loan terms,origination,Contractual interest rate (%),as-is,"numeric; median-imputed, standardized; EXCLUDED in Sen 1 & Sen 2",per-1-SD,base
installment,installment,loan terms,origination,Monthly payment (USD),as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
annual_inc,annual_inc,borrower,origination,Self-reported annual income (USD),as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
dti,dti,borrower,origination,Debt-to-income ratio,as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
emp_length_years,emp_length,borrower,origination,Employment length in years,text -> years,"numeric; median-imputed, standardized; <1yr=0.0, 1yr=1.0, ..., 10+=10.0 (train==score)",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
fico_avg,fico,credit history,backward-looking,Average of FICO low/high band at application,(low+high)/2,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
credit_history_months,credit_history,credit history,backward-looking,Months from earliest credit line to issue date,date diff,"numeric; median-imputed, standardized; negatives set to NaN then imputed",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
delinq_2yrs,delinq_2yrs,credit history,backward-looking,Delinquencies in past 2 years,as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
inq_last_6mths,inq_last_6mths,credit history,backward-looking,Credit inquiries in past 6 months,as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
open_acc,open_acc,credit history,backward-looking,Number of open credit lines,as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
pub_rec,pub_rec,credit history,backward-looking,Number of derogatory public records,as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
revol_bal,revol_bal,credit history,backward-looking,Revolving balance (USD),as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
revol_util,revol_util,credit history,backward-looking,Revolving line utilization (%),as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
total_acc,total_acc,credit history,backward-looking,Total number of credit lines on file,as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
pub_rec_bankruptcies,pub_rec_bankruptcies,credit history,backward-looking,Number of public-record bankruptcies,as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
mort_acc,mort_acc,credit history,backward-looking,Number of mortgage accounts,as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
acc_open_past_24mths,acc_open_past_24mths,credit history,backward-looking,Accounts opened in past 24 months,as-is,"numeric; median-imputed, standardized",per-1-SD,"base, sens1_no_int_rate, sens2_with_subgrade"
purpose,purpose,categorical,origination,Stated loan purpose,as-is,"one-hot (drop-first), most-frequent impute; not standardized",log-odds vs reference,"base, sens1_no_int_rate, sens2_with_subgrade"
home_ownership,home_ownership,categorical,origination,Home ownership status,as-is,"one-hot (drop-first), most-frequent impute; not standardized",log-odds vs reference,"base, sens1_no_int_rate, sens2_with_subgrade"
verification_status,verification_status,categorical,origination,Income verification status,as-is,"one-hot (drop-first), most-frequent impute; not standardized",log-odds vs reference,"base, sens1_no_int_rate, sens2_with_subgrade"
sub_grade,sub_grade,LC proprietary,origination,LendingClub sub-grade,as-is,"one-hot (drop-first), most-frequent impute; not standardized; ONLY in Sen 2",log-odds vs reference,sens2_with_subgrade
